Chapter,Verse,Word,MS_M,MS_B,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,5,ו̇זה,וזה,Same,,,,,
,,6,חזיתי,חזיתי,Same,,,,,
,,7,ואשננה,ואספרה,Morphological,Grammatical,,,,
,,8,באמר,באומר,Morphological,Orthographical,,,,
,,,באמר,באומר,Morphological,Grammatical,,,,
,,9,אדני,אלהים,Lexical,Synonym,,,,
,,10,מעשיו,רצ֟ו̊̊נו,Lexical,,,,,
,,11,ופעל,ופועל,Morphological,Grammatical,,,,
,,12,רצנו,רצונו,Same,,,,,
,,13,לקחו,לק֟חו,Same,,,,,
,16,1,שמש,שמש,Same,,,,,
,,2,זהרת,זור̇ח̇ת,Lexical,,,,,
,,3,על,על,Same,,,,,
,,4,כל,כל,Same,,,,,
,,5,נגלת[ה ],נגלתה,Unclassifiable,,,,,
,,6,[וכ]בוד,וכבוד,Unclassifiable,,,,,
,,7,אדני,ייי,Lexical,Synonym,,,,
,,8,מלא,על,Lexical,,,,,
,,9,,כל,Plus_Minus,,,,,
,,10,מעשיו,מעשיו,Same,,,,,
,17,1,לא,לא,Same,,,,,
,,2,השפיקו,הספיקו,Morphological,Phonetic_affinity,,,,
,,3,קדשי,קדושי,Morphological,Orthographical,,,,
,,4,אל,אל,Same,,,,,
,,5,לספר,לספר,Same,,,,,
,,6,כל,,Plus_Minus,,,,,
,,7,נפלאתיו,נפלאות,Morphological,Suffix Pron.,,,,
,,8,,יי֟י,Plus_Minus,,,,,
,,9,אמץ,אימ֟ץ,Morphological,Orthographical,,,,
,,10,אדני,אלהים,Lexical,Synonym,,,,
,,11,צ̇ב̊איו,צבאיו,Same,,,,,
,,12,להתחזק,להת֟חזק,Same,,,,,
,,13,לפני,לפני,Same,,,,,
,,14,כבודו,כבודו,Same,,,,,
,18,1,תהום,תהום,Same,,,,,
,,2,ולב,ולב,Same,,,,,
,,3,חקר,ח֔קר,Same,,,,,
,,4,,ובכל,Plus_Minus,,,,,
,,5,ובמערמיהם,מערומיהם,Morphological,Preposition,,,,
,,6,יתבונן,יתבונן,Same,,,,,
,,7,כי,>,Plus_Minus,,,,,
,,8,ידע,>,Plus_Minus,,,,,
,,9,עליו̇ן,>,Plus_Minus,,,,,
,,10,כל,>,Plus_Minus,,,,,
,,11,[],>,Unclassifiable,,,,,
,,12,[ו]מ̇ביט,>,Plus_Minus,,,,,
,,13,אתיות,>,Plus_Minus,,,,,
,,14,עולם,>,Plus_Minus,,,,,
,19,1,מ̇חוה,מ̇חוה,Same,,,,,
,,2,חליפות,חליפות,Same,,,,,
,,3,[נהיות],נ֟היות,Unclassifiable,,,,,
,,4,[ו]מגלה,ומגלה,Unclassifiable,,,,,
,,5,חקר,חקר,Same,,,,,
,,6,נסתרות,נסתרות,Same,,,,,
,20,1,לא,ל̇א̊̊,Same,,,,,
,,2,נעדר,נ̊̊ע̇דר,Same,,,,,
,,3,ממנו,ממנו,Same,,,,,
,,4,,כל,Plus_Minus,,,,,
,,5,שכל,שכל,Same,,,,,
,,6,ולא̊,ולא,Same,,,,,
,,7,עב[ר]ו,חלפ֟ו,Unclassifiable,,,,,
,,9,כל,כל,Same,,,,,
,,10,דבר,ד֟בר,Same,,,,,
,21,1,גבורת,גב̊̊[ור]ת̊̊,Unclassifiable,,,,,
,,2,חכמ̊[תו,ח̊̊כ̊̊מ̊̊תו,Unclassifiable,,,,,
,,3,],תכן,Unclassifiable,,,,,
,,4,אחד,אחד,Same,,,,,
,,5,ה̇[ו]א̊,הוא,Unclassifiable,,,,,
,,6,[מע]ולם,מע֟ולם,Unclassifiable,,,,,
,,7,לא,ל̇[א,Unclassifiable,,,,,
,,8,נאסף,נ]א̊̊ס̊̊ף,Unclassifiable,,,,,
,,9,[ול]א̊,לא,Unclassifiable,,,,,
,,10,נ̊[א]צ̊[ל],נאצל,Unclassifiable,,,,,
,,11,[ו]ל[א,ולא,Unclassifiable,,,,,
,,12,צרי]ך̊,צרי֟ך,Unclassifiable,,,,,
,,13,לכ̇ל,לכל,Same,,,,,
,,14,מבין,מבין,Same,,,,,
,22,1,הלוא,,Plus_Minus,,,,,
,,2,כל,,Plus_Minus,,,,,
,,3,מעשיו,,Plus_Minus,,,,,
,,4,נחמד[ים],,Plus_Minus,,,,,
,,5,עדני,,Plus_Minus,,,,,
,,6,ציץ,,Plus_Minus,,,,,
,,7,וחזות,,Plus_Minus,,,,,
,,,מראה,,Plus_Minus,,,,,
,23a/25a,1,הכל,הוא,Lexical,,,,,
,,2,חי,ח̊̊[י,Unclassifiable,,,,,
,,3,ועמ̇[ד],ו]ע̊̊מ֟̊̊ד̊̊,Unclassifiable,,,,,
,,4,לעד,לע̇ד̇,Same,,,,,
,,5,זה,זה֟,Same,,,,,
,,6,על,על,Same,,,,,
,,7,זה,זה֟,Same,,,,,
,,8,חלף,חלף֟,Same,,,,,
,,9,טובם,טובו,Morphological,Orthographical,,,,
,,10,ו]כל,לכל,Unclassifiable,,,,,
,,11,צרך,צרוך,Morphological,Orthographical,,,,
,,12,והכל,הכל,Morphological,Coordination,,,,
,,13,נשמר,נשמע,Lexical,,,,,
,25b/43:1a,1,[ו]מי,וימי,Unclassifiable,,,,,
,,2,ישבע,ישב̇[ע],Unclassifiable,,,,,
,,3,להביט,ל[ה]ב̊̊[י]ט̊̊,Unclassifiable,,,,,
,,4,הודם,ה̊̊ד̊̊ם,Morphological,Orthographical,,,,
,,5,תאר,ת̇ו̊̊א̊̊ר̊̊[,Unclassifiable,,,,,
,,6,מרום,,Unclassifiable,,,,,
,,7,ורקיע,,Unclassifiable,,,,,
,,8,,,Unclassifiable,,,,,
,,9,לטהר,]לט̊̊ו̊̊ה̊̊ר̊̊,Unclassifiable,,,,,
,43:1b/42:23b,1,עצם,ועצם,Morphological,Coordination,,,,
,,2,שמים,שמים̇,Same,,,,,
,,3,מ֯[בי]ע֯,מ̇רביט,Unclassifiable,,,,,
,,4,נ̊ה̇ו̇ר̇ו̇,הדרו,Lexical,,,,,
,,5,[ו]כל,ולכל,Unclassifiable,,,,,
,,6,צרך,צ̊̊ו̊̊ר̊̊ך,Morphological,Orthographical,,,,
,,7,והכל,הכ̊̊ל̊̊,Morphological,Coordination,,,,
,,8,נשמר,ישמע,Lexical,,,,,
,24,1,כלם,כלם,Same,,,,,
,,2,ש֯נ֯[ים,שונים,Unclassifiable,,,,,
,,3,[זה],זה,Unclassifiable,,,,,
,,4,לעמת,מזה,Lexical,,,,,
,,5,זה,,Plus_Minus,,,,,
,,6,ולא,ולא,Same,,,,,
,,7,עשה,עשה,Same,,,,,
,,8,מה̇ם,מהם,Same,,,,,
,,9,[שוא],שיב̇,Unclassifiable,,,,,
,2,1,שמש,שמש,Same,,,,,
,,2,מופיע,מביע֟,Lexical,,,,,
,,3,בצאתו,בצרתו,Lexical,,,,,
,,4,נכסה,חמה,Lexical,,,,,
,,5,כלי,מה,Lexical,,,,,
,,6,נורא,נורא,Same,,,,,
,,7,מעשה,מעשי,Morphological,Grammatical,,,,
,,8,[ע]ליון,ייי,Unclassifiable,,,,,
,3,1,בהצהירו,בהצהירו,Same,,,,,
,,2,יר̇[תי]ח,ירתיח,Unclassifiable,,,,,
,,3,תבל,תבל,Same,,,,,
,,4,ו̇לפני,לפני,Morphological,Coordination,,,,
,,5,חרב,חרבו,Morphological,Suffix Pron.,,,,
,,6,מי,מי,Same,,,,,
,,7,יתכ[ו]לל,יתכלכל,Unclassifiable,,,,,
,4,1,[כ]ור,כור,Unclassifiable,,,,,
,,2,נ̊פוח̇,נפוח,Same,,,,,
,,3,מע̇שי,מהם̇,Lexical,,,,,
,,4,מוצק,מצו֟ק,Same,,,,,
,,5,של[וח,שו֟לח,Unclassifiable,,,,,
,,6,ש]מ̇ש,שמש,Unclassifiable,,,,,
,,7,[י]ש̊י̊ק̊,ידלי֟ק,Unclassifiable,,,,,
,,8,,הרים,Plus_Minus,,,,,
,,9,לשון,לש֟און,Morphological,Orthographical,,,,
,,10,מאור,מאור,Same,,,,,
,,11,ת[ג]מיר,תג̇מר,Unclassifiable,,,,,
,,12,נושבת,נושבת,Same,,,,,
,,13,[,ומנורה,,,,,,
,,14,,תכוה,,,,,,
,,15,],עין,,,,,,
,5,1,כי,כי,Same,,,,,
,,2,גדול,ג֟דיל,Morphological,Orthographical,,,,
,,3,אדני,ייי֟,Lexical,Synonym,,,,
,,4,עשהו,עושהו,Morphological,Synonym,,,,
,,5,ודבר̊[,ודבריו,Unclassifiable,,,,,
,,6,,ינצ֟ח,,,,,,
,,7,[,אביריו,,,,,,
,6,1,וגם,וגם,Same,,,,,
,,2,י]ר̇ח,ירח,Unclassifiable,,,,,
,,3,יאריח,ירח,,,,,,
,,4,עתות,עתות֟,Same,,,,,
,,5,,שבות,Plus_Minus,,,,,
,,6,ממ̇[שלת,ממשלת,Unclassifiable,,,,,
,,7,],קץ,Unclassifiable,,,,,
,,8,,ואות,Unclassifiable,,,,,
,,9,[,עולם,Unclassifiable,,,,,
,7,1,לו,בם֟,Lexical,,,,,
,,2,מו̊[ ע]ד̇,מועד,Unclassifiable,,,,,
,,3,וממנו,וז֟מני,Lexical,,,,,
,,4,חג,חוק,Lexical,,,,,
,,5,[,וחפץ,Unclassifiable,,,,,
,,6,,ע̊̊ת̊̊ה,Unclassifiable,,,,,
,,7,],בתקופתו,Unclassifiable,,,,,
,8,1,ח̊ד̇ש,חדש,Same,,,,,
,,2,כשמו,בחד֟שו,Lexical,,,,,
,,3,הוא,ה֟וא,Same,,,,,
,,4,מת̇[חדש ],מתחדש,Unclassifiable,,,,,
,,5,[,מה,Unclassifiable,,,,,
,,6,,נורא,Unclassifiable,,,,,
,,7,],בהשתנותו,Unclassifiable,,,,,
,,8,כלי,כלי,Same,,,,,
,,9,צבא,צבא,Same,,,,,
,,10,נבלי,נבלי,Same,,,,,
,,11,מרום,מרום,Same,,,,,
,,12,מרצ̊ף̊,מרצ֟ף,Same,,,,,
,,13,[,רקיע,Unclassifiable,,,,,
,,14,],מזהירתו,Unclassifiable,,,,,
,9,1,תור,תואר,Morphological,Orthographical,,,,
,,2,שמים,שמים,Same,,,,,
,,3,והוד,והדר,Lexical,Synonym,,,,
,,4,כוכב,כוכב,Same,,,,,
,,5,עדי,ואורו֟,Lexical,,,,,
,,6,משריק,מזהיר,Lexical,Synonym,,,,
,,7,במרמ̇[י,במרומי,Unclassifiable,,,,,
,,8,אל],אל,Unclassifiable,,,,,
,10,1,בדבר,בדבר,Same,,,,,
,,2,אדני,אל,Lexical,Synonym,,,,
,,3,יעמד,יעמד,Same,,,,,
,,4,חק,חק,Same,,,,,
,,5,ולא̇,ולא,Same,,,,,
,,6,ישח,יש֟ח,Same,,,,,
,,7,באשמרתם,באשמרותם̇,Morphological,Orthographical,,,,
,11,1,ראה,ראה,Same,,,,,
,,2,קשת,קשת,Same,,,,,
,,3,וברך,וברך,Same,,,,,
,,4,עשיה,עוש֟יה,Morphological,Orthographical,,,,
,,5,כי,כי,Same,,,,,
,,6,מא̊ד,מאד,Same,,,,,
,,7,נהדר,נא֟דרה,Lexical,,,,,
,,8,נ̊ה̊ר̇ת̊ו̊,ב̊̊כ̊̊ב̇וד,Lexical,,,,,
,12,1, חוג̇,חוק֟,Lexical,,,,,
,,2,[],הקיפה,Unclassifiable,,,,,
,,3,בכבודה,בכבודה,Same,,,,,
,,4,[ו]יד,ויד,Unclassifiable,,,,,
,,5,אל,א֟ל,Same,,,,,
,,6,נטתה,נטתה,Same,,,,,
,,7,בגבו̊[רה],בגב̊̊ו̊̊ר̊̊ה̊̊,Unclassifiable,,,,,
,13,1,גערתו,גבורתו,Lexical,,,,,
,,2,ת[תו]ה̊,תתוה,Unclassifiable,,,,,
,,3,ברד,ברק,Lexical,,,,,
,,4,ותנצח,ותנצח֟,Same,,,,,
,,5,זיקות,זיקות,Same,,,,,
,,6,משפט,ב̇מ̇ש̊̊[פט],Unclassifiable,,,,,
,14,1,למענו,למ֟ען,Morphological,Suffix Pron.,,,,
,,2,פרע,ברא,Lexical,,,,,
,,3,אוצר,אוצר̊̊,Same,,,,,
,,4,ויעף,ויעף,Same,,,,,
,,5,עבים,עב̊̊י̊̊ם̇,Same,,,,,
,,6,כעיט,כ̊̊ע̊̊י̊̊ט̊̊,Same,,,,,
,17,1,קול,קול,Same,,,,,
,,2,רעמו,ר̊̊ע̇מ̊̊ו̇,Same,,,,,
,,3,יחיל,יחו̇ל,Morphological,Orthographical,,,,
,,4,ארצו,ארצו,Same,,,,,
,,5,עלעול,ז̇לעפות,Lexical,Synonym,,,,
,,6,>,צ̊̊פ̊̊ו̊̊ן,Plus_Minus,,,,,
,,7,סופה,סופה,Same,,,,,
,,8,וסערה,וסערה,Same,,,,,
,,9,כרשף,ב̊̊ר֟שף,Morphological,Preposition,,,,
,,10,יפרח,יניף,Lexical,,,,,
,,11,שלגו,שלגו,Same,,,,,
,,12,וכארבה,וכארבה,Same,,,,,
,,13,ישכן,ישכון,Same,,,,,
,,14,רדתו,ד֟רתו,Same,,,,,
,16,1,ובכחו,,Plus_Minus,,,,,
,,2,יניף,,Plus_Minus,,,,,
,,3,הרים,,Plus_Minus,,,,,
,,4,אמר֯ת֯ו֯,,Plus_Minus,,,,,
,,5,תחריף,,Plus_Minus,,,,,
,,6,תימן,,Plus_Minus,,,,,
,18,1,תור,תואר,Morphological,Orthographical,,,,
,,2,לבנו,לבנה̇,Morphological,Suffix Pron.,,,,
,,3,יהג,יג֟הה,Lexical,,,,,
,,4,עינים,עינים,Same,,,,,
,,5,וממטרו,וממטרו,Same,,,,,
,,6,יתמיה,יהמה,Lexical,,,,,
,,7,לבב,לבב,Same,,,,,
,19,1,[וגם],וגם,Unclassifiable,,,,,
,,2,כ̊פ̊ו̊ר,כפור,Same,,,,,
,,3,כמלח,כמלח,Same,,,,,
,,4,ישפך,י̇ש֟כון,Lexical,,,,,
,,5,ויצמח,ויציץ,Lexical,,,,,
,,6,כסנה,כספיר,Lexical,,,,,
,,7,צצים,ציצים,Morphological,Orthographical,,,,
,20,1,[צנת,צינת,Unclassifiable,,,,,
,,2,רו]ח̊,רוח,Unclassifiable,,,,,
,,3,צ̊פ̇ו̇ן,צפון,Same,,,,,
,,4,ישיב,ישיב,Same,,,,,
,,5,וכרגב,וכרקב,Lexical,,,,,
,,6,יקפיא,יקפיא,Same,,,,,
,,7,מקור,מקו֟רו,Morphological,Suffix Pron.,,,,
,,8,[על,על,Unclassifiable,,,,,
,,9,כל,כל,Unclassifiable,,,,,
,,10,מע]מד,מעמד,Unclassifiable,,,,,
,,11,מ̊ימ,מים,Same,,,,,
,,12,יקר̇[ים],יקרים,Unclassifiable,,,,,
,,13,[,וכשרין,Unclassifiable,,,,,
,,14,,ילבש,Unclassifiable,,,,,
,,15,],מקוה,Unclassifiable,,,,,
,21,1,[יבול,יבול,Unclassifiable,,,,,
,,2,הרי]ם,הרים,Unclassifiable,,,,,
,,3,ח֯ר֯ב,כחרב,Unclassifiable,,,,,
,,4,י̇ש̇[יק,ישיק,Unclassifiable,,,,,
,,5,[,ונו֟ה,Unclassifiable,,,,,
,,6,,צמחים,Unclassifiable,,,,,
,,7,],כלהבה,Unclassifiable,,,,,
,23,1,[,מחש֟בתו,Unclassifiable,,,,,
,,2,,ת̇שיק,Unclassifiable,,,,,
,,3,,ר̊̊בה,Unclassifiable,,,,,
,,4,,ויט,Unclassifiable,,,,,
,,5,],בתהום,Unclassifiable,,,,,
,,6,א̇יים,אי֟ים,Unclassifiable,,,,,
,24,1,[,יורדי,Unclassifiable,,,,,
,,2,,הים,Unclassifiable,,,,,
,,3,,יספרו,Unclassifiable,,,,,
,,4,],קצהו,Unclassifiable,,,,,
,,5,ל̇שמע,לשמע,Unclassifiable,,,,,
,,6,אזנינו,אזננו,Unclassifiable,,,,,
,,7,נשמתם,נשתומם,Unclassifiable,,,,,
,25,1,[,שם,Unclassifiable,,,,,
,,2,,פלאות,Unclassifiable,,,,,
,,3,,תמהי,Unclassifiable,,,,,
,,4,],מעש֟הו,Unclassifiable,,,,,
,,5,מ̊י̊ן,מין,Unclassifiable,,,,,
,,6,כ̊[ל,כל,Unclassifiable,,,,,
,,7,חי,חי,Unclassifiable,,,,,
,,8,ו]ג֯ב֯ו֯רת,וגבורות,Unclassifiable,,,,,
,,9,רה̇ב,רבה,Unclassifiable,,,,,
,30,1,], מ̇ג̊̊[ד],Unclassifiable,,,,,
,,2,,לי̊̊,Unclassifiable,,,,,
,,3,,י̊̊י̊̊י̊̊,Unclassifiable,,,,,
,,4,,ה̊̊רימו,Unclassifiable,,,,,
,,5,,קול,Unclassifiable,,,,,
,,6,,בכל,Unclassifiable,,,,,
,,7,,תוכלו,Unclassifiable,,,,,
,,8,,כי,Unclassifiable,,,,,
,,9,]ש,יש,Unclassifiable,,,,,
,,10,אל,עוד,Unclassifiable,,,,,
,,11,],מרומים,Unclassifiable,,,,,
,,12,,תחליפו,Unclassifiable,,,,,
,,13,,כח,Unclassifiable,,,,,
,,14,,ואל,Unclassifiable,,,,,
,,15,,תלאו,Unclassifiable,,,,,
,,16,,כי,Unclassifiable,,,,,
,,17,,לא,Unclassifiable,,,,,
,,18,[,ת,Unclassifiable,,,,,
44,1,1,[אהללה,אהללה,Unclassifiable,,,,,
,,2,נ]א̊,נא,Unclassifiable,,,,,
,,3,אנ̊[שי],אנשי,Unclassifiable,,,,,
,,4,חסד,חסד,Same,,,,,
,,5,את,,Plus_Minus,,,,,
,,6, אב[ותינו,אבותינו,Unclassifiable,,,,,
,,7,[,בדורותם,Unclassifiable,,,,,
,2,1,רב,רב,Same,,,,,
,,2,כבוד,כבוד,Same,,,,,
,,3,חלק,חלק֟,Same,,,,,
,,4,עליון,עליון,Same,,,,,
,,5,וגדלה,וגדלו,Morphological,Suffix Pron.,,,,
,,6,מי[מות,מימות,Unclassifiable,,,,,
,,7,עולם],עולם,Unclassifiable,,,,,
,3,1,>,דור֟י,Plus_Minus,,,,,
,,2,>,ארץ,Plus_Minus,,,,,
,,3,>,במלכותם,Plus_Minus,,,,,
,,4,>,ואנשי,Plus_Minus,,,,,
,,5,>,שם,Plus_Minus,,,,,
,,6,>,בגבור֟תם,Plus_Minus,,,,,
,,7,ויעצים,הי֟ועצים,Morphological,Determination,Orthographical,,,
,,8,בתבונתם,בתבונתם,Same,,,,,
,,9,>,ב̊̊ע̊̊ו̇לם,Plus_Minus,,,,,
,,10,וחזי,וחוזי,Morphological,Orthographical,,,,
,,11,כל,כל,Same,,,,,
,,12,בנבו̇[אתם],בנבואתם,Unclassifiable,,,,,
,4,1,שרי,שרי,Same,,,,,
,,2,גוי,גוים,Morphological,Orthographical,,,,
,,3,ב̊מ̇זמת̊ם̇,במזמתם,Same,,,,,
,,4,ורזנים,ורוזנים,Morphological,Orthographical,,,,
,,5,במחקק[תם,במחקרותם,Unclassifiable,,,,,
,,6,חכמי,חכ̇מי,Same,,,,,
,,7,שיח,שיח,Same,,,,,
,,8,בספרתם,בס֟פרתם,Same,,,,,
,,9,ומשלים,ומושלים,Same,,,,,
,,10,במ̇[שמרותם],במשמרותם,Unclassifiable,,,,,
,5,1,חקרי,חוקרי,Morphological,Orthographical,,,,
,,2,מזמור,מזמור,Same,,,,,
,,3,על,על,Same,,,,,
,,4,קו,חו֟ק,Lexical,,,,,
,,5,ונשאי,נושאי,Morphological,Coordination,,,,
,,6,משל̊,משל,Same,,,,,
,,7,[בכתב],ב̇כתב,Unclassifiable,,,,,
,6,1,אנשי,אנשי,Same,,,,,
,,2,חיל,חיל,Same,,,,,
,,3,וסמכי,וסומכי,Morphological,Orthographical,,,,
,,4,כח,כח,Same,,,,,
,,5,ושקט֯[ים,ושוקטים,Unclassifiable,,,,,
,,6,,על,Unclassifiable,,,,,
,,7,[,מכונתם,Unclassifiable,,,,,
,7,1,כל,כל,Same,,,,,
,,2,אלה,אלה,Same,,,,,
,,3,בדרם,בדורם֟,Morphological,Orthographical,,,,
,,4,נכבדו,,Plus_Minus,,,,,
,,5,מ]ן,ומימ֟יהם,Unclassifiable,,,,,
,,6,[ימיהם,,Unclassifiable,,,,,
,,7,תפארתם],תפארתם,Unclassifiable,,,,,
,9,1,ויש,ויש,Same,,,,,
,,2,מהם,מהם,Same,,,,,
,,3,,אשר,Plus_Minus,,,,,
,,4,שאין,אין,Morphological,,,,,
,,5,לו,לו,Same,,,,,
,,6,זכר,זכר,Same,,,,,
,,7,[,וישבתו,Unclassifiable,,,,,
,,8,,כאשר,Unclassifiable,,,,,
,,9,],שבת̇ו,Unclassifiable,,,,,
,,10,כאשר,כאשר,Same,,,,,
,,11,לא,לא,Same,,,,,
,,12,היו,היו,Same,,,,,
,,13,היו,היו,Same,,,,,
,,14,ו[,ובניהם,Unclassifiable,,,,,
,,15,[,מאחריהם,Unclassifiable,,,,,
,10,1,אולם,ואולם,Morphological,Coordination,,,,
,,2,אלה,אלה,Same,,,,,
,,3,אנשי,אנשי,Same,,,,,
,,4,חסד,חסד,Same,,,,,
,,5,וצ[דקתם,ותקותם,Unclassifiable,,,,,
,,6,[,לא̊̊,Unclassifiable,,,,,
,,7,],ת̊̊כ̊̊[ר]ת,Unclassifiable,,,,,
,11,1,אם,עם,Lexical,Phonetic_affinity,,,,
,,2,זרעם,זרעם,Same,,,,,
,,3,נאמן,נאמן,Same,,,,,
,,4,טובם,טובם,Same,,,,,
,,5,ונחל̊[תם,ונחלתם,Unclassifiable,,,,,
,,6,[,לב̊̊נ̊̊[י],Unclassifiable,,,,,
,,7,],ב̊̊[ניה]ם̊̊,Unclassifiable,,,,,
,12,1,בבריתם,>,Plus_Minus,,,,,
,,2,עמד,>,Plus_Minus,,,,,
,,3,זרעם,>,Plus_Minus,,,,,
,,4,וצאצאיהם,>,Plus_Minus,,,,,
,,5,],>,Unclassifiable,,,,,
,,6,[,>,Unclassifiable,,,,,
,13,1,ע̊ד̇,עד,Same,,,,,
,,2,עולם,עולם,Same,,,,,
,,3,יעמד,יעמד,Same,,,,,
,,4,זרעם,זכרם,Lexical,,,,,
,,5,וכבודם,וצדקתם,Lexical,,,,,
,,6,לא,לא̊̊,Same,,,,,
,,7,ימח̊[ה],[תמח]ה̊̊,Unclassifiable,,,,,
,14,1, ג̊וי̊[ת]ם,[גו]י̊̊ת̊̊ם̊̊,Unclassifiable,,,,,
,,2,בשלום,ב̊̊ש̊̊לו̊̊ם̊̊,Same,,,,,
,,3,נאספה,נ̊̊א̊̊ס̊̊[פה],Unclassifiable,,,,,
,,4,[ו]שמם,[ו]ש̊̊מ̊̊ם̊̊,Unclassifiable,,,,,
,,5,חי,ח̊̊[י],Unclassifiable,,,,,
,,6,לדוד,ל[דור],Unclassifiable,,,,,
,,7,ודר,ודור,Morphological,Coordination,Orthographical,,,
,15,1,[],>,Unclassifiable,,,,,
,,2,ת]ש֯ן̇,>,Unclassifiable,,,,,
,,3,עדה,>,Plus_Minus,,,,,
,,4,ותהלתם,>,Plus_Minus,,,,,
,,5,יספר,>,Plus_Minus,,,,,
,,6,קהל,>,Plus_Minus,,,,,
,16,1,>,חנוך,Plus_Minus,,,,,
,,2,>,נמ̊̊צ̊̊א,Plus_Minus,,,,,
,,3,>,תמים,Plus_Minus,,,,,
,,4,>,והתהלך,Plus_Minus,,,,,
,,5,>,עם,Plus_Minus,,,,,
,,6,>,ייי,Plus_Minus,,,,,
,,7,>,ו̇[נ]ל̇קח,Plus_Minus,,,,,
,,8,>,אות,Plus_Minus,,,,,
,,9,>,דעת,Plus_Minus,,,,,
,,10,>,לדור,Plus_Minus,,,,,
,,11,>,ודור,Plus_Minus,,,,,
,17,1,נוח,[נ]ח̊̊,Unclassifiable,,,,,
,,2,צדיק̇,צדיק,Same,,,,,
,,3,נ̊מצא,נמצא,Same,,,,,
,,4,תמים,תמים,Same,,,,,
,,5,ב[עת,ל֟עת,Unclassifiable,,,,,
,,6,כ]ל[ה,כלה,Unclassifiable,,,,,
,,7,[,היה,Unclassifiable,,,,,
,,8,],תחליף,Unclassifiable,,,,,
,,9,ב̊ע̊[בורו,בעבורו,Unclassifiable,,,,,
,,10,[,היה,Unclassifiable,,,,,
,,11,,שארית,Unclassifiable,,,,,
,,12,,ובבריתו,Unclassifiable,,,,,
,,13,,חדל,Unclassifiable,,,,,
,,14,],מבול,Unclassifiable,,,,,
